ticker,expiration,contractType,strike,bid,ask,volume,openInterest,impliedVolatility,spot_price,moneyness
ARKQ,2026-12-18,call,100.0,25.5,28.8,1.0,22.0,0.4627739270019532,120.15499877929688,0.8323
ARKQ,2026-12-18,call,105.0,22.0,25.3,2.0,24.0,0.446294599609375,120.15499877929688,0.8739
ARKQ,2026-12-18,call,110.0,18.5,22.2,2.0,16.0,0.435979761352539,120.15499877929688,0.9155
ARKQ,2026-12-18,call,115.0,15.5,18.6,6.0,24.0,0.4072019729614258,120.15499877929688,0.9571
ARKQ,2026-12-18,call,118.0,14.0,17.0,1.0,13.0,0.4022276574707031,120.15499877929688,0.9821
ARKQ,2026-12-18,call,120.0,13.0,15.5,2.0,39.0,0.3867554000854492,120.15499877929688,0.9987
ARKQ,2026-12-18,call,125.0,10.5,12.9,5.0,29.0,0.3733583172607422,120.15499877929688,1.0403
ARKQ,2026-12-18,call,128.0,11.7,15.0,10.0,16.0,0.4538018487548828,120.15499877929688,1.0653
ARKQ,2026-12-18,call,130.0,9.1,10.8,5.0,21.0,0.3664308963012695,120.15499877929688,1.0819
ARKQ,2026-12-18,call,135.0,7.3,8.9,1.0,15.0,0.3585269226074219,120.15499877929688,1.1235
ARKQ,2026-12-18,call,140.0,5.0,7.3,6.0,54.0,0.3524845025634765,120.15499877929688,1.1652
ARKQ,2026-12-18,call,145.0,4.2,7.0,1.0,17.0,0.376684700012207,120.15499877929688,1.2068
ARKQ,2026-12-18,call,150.0,3.1,5.8,6.0,50.0,0.3722596954345704,120.15499877929688,1.2484
ARKQ,2026-12-18,call,160.0,2.0,4.4,22.0,26.0,0.3807434973144531,120.15499877929688,1.3316
ARKQ,2026-12-18,call,165.0,1.1,3.4,12.0,166.0,0.3689027954101562,120.15499877929688,1.3732
ARKQ,2026-12-18,put,90.0,3.0,4.6,4.0,75.0,0.4373835559082031,120.15499877929688,0.749
ARKQ,2026-12-18,put,100.0,4.3,6.1,1.0,11.0,0.3819031536865234,120.15499877929688,0.8323
ARKQ,2026-12-18,put,110.0,7.8,8.9,3.0,32.0,0.3499210516357421,120.15499877929688,0.9155
BOTZ,2026-04-17,call,30.0,4.4,6.1,1.0,41.0,1.255863095703125,35.255001068115234,0.8509
BOTZ,2026-04-17,call,34.0,0.85,2.0,3.0,159.0,0.5576216113281252,35.255001068115234,0.9644
BOTZ,2026-04-17,call,35.0,0.6,0.9,1.0,51.0,0.3300848242187499,35.255001068115234,0.9928
BOTZ,2026-04-17,call,36.0,0.25,0.4,18.0,29.0,0.30274134765625,35.255001068115234,1.0211
BOTZ,2026-04-17,call,37.0,0.0,0.25,1.0,93.0,0.35742830078125,35.255001068115234,1.0495
BOTZ,2026-04-17,call,38.0,0.0,0.15,3.0,28.0,0.395513857421875,35.255001068115234,1.0779
BOTZ,2026-04-17,call,39.0,0.0,0.8,1.0,12.0,0.6669955175781253,35.255001068115234,1.1062
BOTZ,2026-04-17,call,40.0,0.0,0.35,1.0,24.0,0.59570716796875,35.255001068115234,1.1346
BOTZ,2026-04-17,call,48.0,0.0,0.8,30.0,30.0,1.396487392578125,35.255001068115234,1.3615
BOTZ,2026-04-17,put,30.0,0.0,0.1,7.0,18.0,0.5625043750000001,35.255001068115234,0.8509
BOTZ,2026-04-17,put,31.0,0.0,0.15,3.0,48.0,0.507817421875,35.255001068115234,0.8793
BOTZ,2026-04-17,put,32.0,0.0,0.8,4.0,11.0,0.6757844921875001,35.255001068115234,0.9077
BOTZ,2026-04-17,put,33.0,0.0,0.85,1.0,17.0,0.5507857421875001,35.255001068115234,0.936
BOTZ,2026-04-17,put,34.0,0.0,0.95,2.0,18.0,0.6543003320312502,35.255001068115234,0.9644
BOTZ,2026-04-17,put,35.0,0.25,1.2,5.0,25.0,0.5708050732421875,35.255001068115234,0.9928
BOTZ,2026-04-17,put,38.0,1.95,3.7,7.0,18.0,0.8447281152343749,35.255001068115234,1.0779
BOTZ,2026-05-15,call,34.0,1.15,3.2,36.0,62.0,0.5668988623046876,35.255001068115234,0.9644
BOTZ,2026-05-15,call,36.0,0.8,1.05,3.0,12.0,0.3032296240234374,35.255001068115234,1.0211
BOTZ,2026-05-15,call,37.0,0.5,0.7,2.0,15.0,0.301764794921875,35.255001068115234,1.0495
BOTZ,2026-05-15,call,38.0,0.3,0.4,4.0,34.0,0.2871165039062499,35.255001068115234,1.0779
BOTZ,2026-06-18,call,25.0,12.7,15.1,1.0,13.0,1.485354135742187,35.255001068115234,0.7091
BOTZ,2026-06-18,call,30.0,4.9,6.9,1.0,24.0,0.6420934228515626,35.255001068115234,0.8509
BOTZ,2026-06-18,call,33.0,2.3,4.5,1.0,28.0,0.5385788330078126,35.255001068115234,0.936
BOTZ,2026-06-18,call,34.0,2.3,2.95,2.0,12.0,0.3698793481445312,35.255001068115234,0.9644
BOTZ,2026-06-18,call,35.0,1.65,2.2,10.0,306.0,0.3327703442382813,35.255001068115234,0.9928
BOTZ,2026-06-18,call,36.0,0.9,2.1,6.0,1055.0,0.3891662646484375,35.255001068115234,1.0211
BOTZ,2026-06-18,call,37.0,0.5,1.3,2.0,103.0,0.3212958496093749,35.255001068115234,1.0495
BOTZ,2026-06-18,call,38.0,0.6,0.85,21.0,390.0,0.295905478515625,35.255001068115234,1.0779
BOTZ,2026-06-18,call,39.0,0.15,1.25,3.0,49.0,0.4148007739257812,35.255001068115234,1.1062
BOTZ,2026-06-18,call,40.0,0.25,0.45,2.0,228.0,0.2978585839843749,35.255001068115234,1.1346
BOTZ,2026-06-18,call,41.0,0.1,0.35,1.0,27.0,0.3071358349609374,35.255001068115234,1.163
BOTZ,2026-06-18,call,42.0,0.05,0.4,1.0,79.0,0.3530338134765625,35.255001068115234,1.1913
BOTZ,2026-06-18,call,43.0,0.05,1.2,1.0,27.0,0.5676312768554688,35.255001068115234,1.2197
BOTZ,2026-06-18,call,44.0,0.05,1.15,1.0,14.0,0.5922892333984376,35.255001068115234,1.248
BOTZ,2026-06-18,call,45.0,0.05,1.15,3.0,323.0,0.6254920263671876,35.255001068115234,1.2764
BOTZ,2026-06-18,call,50.0,0.0,0.1,1.0,520.0,0.4257869921875,35.255001068115234,1.4182
BOTZ,2026-06-18,put,30.0,0.25,1.0,7.0,75.0,0.5039112109375,35.255001068115234,0.8509
BOTZ,2026-06-18,put,32.0,0.0,1.5,2.0,30.0,0.4770560107421875,35.255001068115234,0.9077
BOTZ,2026-06-18,put,33.0,0.1,1.35,2.0,1700.0,0.3818421191406249,35.255001068115234,0.936
BOTZ,2026-06-18,put,34.0,0.15,2.0,3.0,21.0,0.420904228515625,35.255001068115234,0.9644
BOTZ,2026-06-18,put,35.0,1.4,1.6,9.0,97.0,0.2773509765624999,35.255001068115234,0.9928
BOTZ,2026-06-18,put,36.0,0.95,3.1,1.0,50.0,0.4301814794921875,35.255001068115234,1.0211
BOTZ,2026-06-18,put,37.0,1.4,3.8,2.0,23.0,0.4448297705078124,35.255001068115234,1.0495
BOTZ,2026-06-18,put,38.0,2.85,3.6,2.0,13.0,0.2968820312499999,35.255001068115234,1.0779
